,,,,,,,,,,,,,,,,,
企業名,中業界(メイン),中業界(サブ),本社所在地_都道府県,本社所在地,従業員数（範囲）,資本金（範囲）,売上（範囲）,企業HP,問い合わせフォーム,代表電話番号,代表メールアドレス,,,送信可否,日付,送信不可理由,
Ｉｎｄｅｅｄ　Ｊａｐａｎ株式会社,Webアプリ・サービス運営,求人媒体運営・求人情報誌出版,東京都,東京都千代田区丸の内１丁目９番２号,"5: 300人以上~1,000人未満",,"6: 1,000億円以上",https://jp.indeed.com/,,03-4578-7829,,,,送信不可,, お問い合わせフォーム無し,
Ｅａｒｔｈ　Ｔｅｃｈｎｏｌｏｇｙ株式会社,Webアプリ・サービス運営,"ITインフラストラクチャー,翻訳・通訳",東京都,東京都豊島区南池袋１丁目１９番６号,"5: 300人以上~1,000人未満","1: 5,000万円以上~3億円未満",2: 3億円以上~10億円未満,https://www.tech-earth.co.jp/,http://www.tech-earth.co.jp/contact/,03-6912-8942,info@tech-earth.co.jp,,,送信成功,2026/07/15,,
株式会社アトラスシー,Webアプリ・サービス運営,,東京都,東京都新宿区西新宿１丁目２２番２号,"5: 300人以上~1,000人未満","1: 5,000万円以上~3億円未満",4: 50億円以上~300億円未満,https://www.atrasc.co.jp/databox/data.php/about_corp_outline_ja/code,,03-6864-7781,,,,送信不可,, お問い合わせフォーム無し,
エヌ・デーソフトウェア株式会社,Webアプリ・サービス運営,"その他医療・福祉,受託開発",山形県,山形県南陽市和田３３６９番地,"5: 300人以上~1,000人未満","1: 5,000万円以上~3億円未満",4: 50億円以上~300億円未満,https://www.ndsoft.jp,,,,,,送信不可,,文字数制限,
ＸＭｉｌｅ株式会社,クラウド系/SaaS/ASPサービス,"その他広告・制作,人材派遣",東京都,東京都新宿区新宿６丁目２７番３０号,"5: 300人以上~1,000人未満",3: 10億円以上~50億円未満,4: 50億円以上~300億円未満,https://www.xmile.co.jp/about/information,,,,,,送信成功,2026/07/15,,
セーフィー株式会社,クラウド系/SaaS/ASPサービス,"その他機械,Webアプリ・サービス運営,防犯機器",東京都,東京都品川区西品川１丁目１番１号住友不動産大崎ガーデンタワー,"5: 300人以上~1,000人未満",4: 50億円以上~150億円未満,4: 50億円以上~300億円未満,会社概要 | セーフィー株式会社 - Safie Inc.,https://safie.link/inquiry/,03-6417-9556,bu2-contact@safie.jp,,,送信不可,, お問い合わせフォーム無し,
株式会社ＦＬＵＸ,Webアプリ・サービス運営,その他広告・制作,東京都,東京都港区赤坂９丁目７番１号,"5: 300人以上~1,000人未満",,4: 50億円以上~300億円未満,https://flux.jp/,https://flux-g.com/contact/,,,,,送信成功,2026/07/15,,
株式会社ｅｃｂｅｉｎｇ,Webアプリ・サービス運営,"その他IT,Webマーケコンサル,受託開発,その他広告・制作",東京都,東京都渋谷区渋谷２丁目１５番１号,"5: 300人以上~1,000人未満","1: 5,000万円以上~3億円未満",4: 50億円以上~300億円未満,https://www.ecbeing.net/,https://www.ecbeing.net/contacts/index.html,03-3486-5259,info@ecbeing.co.jp,,,送信成功,2026/07/15,,
株式会社ＬｅｇａｌＯｎ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,クラウド系/SaaS/ASPサービス,その他IT,東京都,東京都渋谷区桜丘町１番１号渋谷サクラステージＳＨＩＢＵＹＡタワー,"5: 300人以上~1,000人未満",5: 150億円以上,4: 50億円以上~300億円未満,https://legalontech.jp/company/,https://legalforce-corp.com/contact,,,,,送信成功,2026/07/15,,
アディッシュ株式会社,Webアプリ・サービス運営,"その他サービス,情報セキュリティ,クラウド系/SaaS/ASPサービス,その他IT,ITインフラストラクチャー",東京都,東京都品川区西五反田１丁目２１番８号,"5: 300人以上~1,000人未満","1: 5,000万円以上~3億円未満",3: 10億円以上~50億円未満,https://www.adish.co.jp/about/companyinfo/,https://info.adish.co.jp/webapp/form/21053_tdfb_85/index.do,03-5759-0334,adsp-info@adish.co.jp,,,送信成功,2026/07/15,,
パナソニックシステムデザイン株式会社,Webアプリ・サービス運営,経営コンサル,大阪府,大阪府門真市大字門真１００６番地,"5: 300人以上~1,000人未満","1: 5,000万円以上~3億円未満",4: 50億円以上~300億円未満,http://group.connect.panasonic.com/psd/company/index.html,,045-471-9160,,,,送信成功,2026/07/15,,
株式会社ＴｈｅＮｅｗＧａｔｅ,Webアプリ・サービス運営,,群馬県,群馬県高崎市栄町１６番１１号高崎イーストタワー１３Ｆ,"5: 300人以上~1,000人未満",,4: 50億円以上~300億円未満,https://thenewgate.co.jp/,,,shopeeinfo@thenewgate.co.jp,,,送信不可,,文字数制限,
株式会社プレイド,Webアプリ・サービス運営,Webアプリ・サービス運営,東京都,東京都中央区銀座６丁目１０番１号ＧＩＮＺＡＳＩＸ１０階,"5: 300人以上~1,000人未満",3: 10億円以上~50億円未満,4: 50億円以上~300億円未満,https://plaid.co.jp/,https://plaid.co.jp/contact.html,,cxdive-info@plaid.co.jp,,,送信成功,2026/07/15,,
株式会社アバント,Webアプリ・サービス運営,"その他IT,会計士,デジタル系コンテンツ",東京都,東京都港区港南２丁目１５番２号,"5: 300人以上~1,000人未満","0: 5,000万円未満",4: 50億円以上~300億円未満,https://www.avantgroup.com/ja/corporate/outline.html,https://www2.diva.co.jp/inquiry,03-5782-8600,,,,送信成功,2026/07/15,,
株式会社ＩＩＪグローバルソリューションズ,Webアプリ・サービス運営,"クラウド系/SaaS/ASPサービス,情報セキュリティ,ITインフラストラクチャー",東京都,東京都千代田区富士見２丁目１０番２号,"5: 300人以上~1,000人未満",2: 3億円以上~10億円未満,4: 50億円以上~300億円未満,https://www.iijglobal.co.jp/about/outline.html,https://www.iijglobal.co.jp/contact/,03-6777-5700,info@iijglobal.co.jp,,,送信成功,2026/07/15,,
株式会社ＪＶＣケンウッド・公共産業システム,情報セキュリティ,"無線通信機械,防犯機器,音響・映像機器",東京都,東京都港区港南４丁目１番８号,"5: 300人以上~1,000人未満",2: 3億円以上~10億円未満,4: 50億円以上~300億円未満,https://jkpi.jvckenwood.com/corporate/overview.html,https://inquiry3.jvckenwood.com/Ask/index.asp?Key=List&amp;C_No=8,045-443-3270,,,,送信不可,, お問い合わせフォーム無し,
株式会社ジーニー,Webアプリ・サービス運営,"デザイン,クラウド系/SaaS/ASPサービス,Web制作,ITコンサル,その他建設・工事,販促コンサル",東京都,東京都新宿区西新宿６丁目８番１号,"5: 300人以上~1,000人未満","1: 5,000万円以上~3億円未満",4: 50億円以上~300億円未満,https://geniee.co.jp/company/outline/,https://geniee.co.jp/inquiry/,03-5909-8181,info_majin@geniee.co.jp,,,送信成功,2026/07/15,,
シンプレクス株式会社,Webアプリ・サービス運営,,東京都,東京都港区虎ノ門１丁目２３番１号,"5: 300人以上~1,000人未満",3: 10億円以上~50億円未満,"5: 300億円以上~1,000億円未満",https://www.simplex.inc/company/about/,http://www.simplex.ne.jp/contact/,03-3539-7370,,,,送信成功,2026/07/15,,
ニフティ株式会社,Webアプリ・サービス運営,"デジタル系コンテンツ,Webアプリ・サービス運営",東京都,東京都港区港南２丁目１５番３号,"5: 300人以上~1,000人未満","1: 5,000万円以上~3億円未満","5: 300億円以上~1,000億円未満",https://www.nifty.co.jp/company/outline,https://support.nifty.com/form/0/kojinjoho/,03-6807-4500,,,,送信成功,2026/07/15,,
株式会社ＳＯＤＡ,Webアプリ・サービス運営,"クラウド系/SaaS/ASPサービス,その他IT",東京都,東京都渋谷区神宮前６丁目２７番８号,"5: 300人以上~1,000人未満",,4: 50億円以上~300億円未満,https://soda-inc.jp/,,,info@soda-inc.jp,,,送信不可,,メールに遷移・Googleフォーム,
株式会社アイ・ディ・エイチ,Webアプリ・サービス運営,,埼玉県,埼玉県草加市谷塚町５８０番１,"5: 300人以上~1,000人未満",,4: 50億円以上~300億円未満,https://idh-net.co.jp/,https://idh-net.co.jp/contact,,,,,送信成功,2026/07/15,,
株式会社アトラス,ゲーム開発,"CD・レコード販売,その他ゲーム,CM制作・映像制作,その他IT,出版,マルチメディア・楽器,書籍・メディア販売,音響・映像機器",東京都,東京都品川区西品川１丁目１番１号住友不動産大崎ガーデンタワー,"5: 300人以上~1,000人未満","0: 5,000万円未満",4: 50億円以上~300億円未満,https://www.atlus.co.jp/company,https://pro.form-mailer.jp/fms/1246530f118006,03-5481-6791,feedbacktoatlus@atlus.co.jp,,,送信成功,2026/07/15,,
日本ウェブサービス株式会社,Webアプリ・サービス運営,"その他IT,ITコンサル,ITインフラストラクチャー",大阪府,大阪府大阪市北区梅田１丁目１番３号,"5: 300人以上~1,000人未満","1: 5,000万円以上~3億円未満",2: 3億円以上~10億円未満,http://jpn-web.co.jp/company/,https://jpn-web.co.jp/contact/index.html,06-4256-8988,security@jpn-web.co.jp,,,送信成功,2026/07/15,,
東芝テリー株式会社,Webアプリ・サービス運営,その他通信,東京都,東京都日野市旭が丘４丁目７番地の１,"5: 300人以上~1,000人未満","1: 5,000万円以上~3億円未満",4: 50億円以上~300億円未満,https://www.toshiba-teli.co.jp/company/profile.htm,https://www.toshiba.co.jp/jp/contact/corporate.html,042-589-7777,,,,送信成功,2026/07/15,,
富士テクノロジー株式会社,Webアプリ・サービス運営,"ITインフラストラクチャー,デジタル系コンテンツ,クラウド系/SaaS/ASPサービス",静岡県,静岡県静岡市駿河区南町１８番１号,"5: 300人以上~1,000人未満","1: 5,000万円以上~3億円未満",3: 10億円以上~50億円未満,https://fut.co.jp/company,,054-204-2001,info@fut.co.jp,,,送信成功,2026/07/15,,
株式会社Ｐｒｅｆｅｒｒｅｄ　Ｎｅｔｗｏｒｋｓ,Webアプリ・サービス運営,その他製造,東京都,東京都千代田区大手町１丁目６番１号大手町ビル,"5: 300人以上~1,000人未満",,4: 50億円以上~300億円未満,https://www.preferred.jp/ja/company/,https://www.preferred-networks.jp/ja/contact/,,,,,送信成功,2026/07/15,,
